Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     956.0E-6	      4.560	      956.0E-6	     0.0000
     960.0E-6	      4.560	      960.0E-6	     0.0000
     964.0E-6	      4.560	      964.0E-6	     0.0000
     968.0E-6	      4.560	      968.0E-6	     0.0000
     972.0E-6	      4.560	      972.0E-6	     0.0000
     976.0E-6	      4.560	      976.0E-6	     0.0000
     980.0E-6	      4.560	      980.0E-6	     0.0000
     984.0E-6	      4.560	      984.0E-6	     0.0000
     988.0E-6	      4.560	      988.0E-6	     0.0000
     992.0E-6	      4.560	      992.0E-6	     0.0000
     996.0E-6	      4.640	      996.0E-6	     0.0000
     1.000E-3	      4.560	      1.000E-3	      80.00E-3
     1.004E-3	      4.560	      1.004E-3	     0.0000
     1.008E-3	      4.560	      1.008E-3	     0.0000
     1.012E-3	      4.640	      1.012E-3	     0.0000
     1.016E-3	      4.560	      1.016E-3	      80.00E-3
     1.020E-3	      4.560	      1.020E-3	     0.0000
     1.024E-3	      4.480	      1.024E-3	     0.0000
     1.028E-3	      4.560	      1.028E-3	     0.0000
     1.032E-3	      4.560	      1.032E-3	     0.0000
     1.036E-3	      4.560	      1.036E-3	     0.0000
     1.040E-3	      4.560	      1.040E-3	      80.00E-3
     1.044E-3	      4.560	      1.044E-3	     0.0000
     1.048E-3	      4.640	      1.048E-3	     0.0000
     1.052E-3	      4.480	      1.052E-3	     0.0000
     1.056E-3	      4.560	      1.056E-3	     0.0000
     1.060E-3	      4.560	      1.060E-3	     0.0000
     1.064E-3	      4.560	      1.064E-3	     0.0000
     1.068E-3	      4.560	      1.068E-3	      80.00E-3
     1.072E-3	      4.560	      1.072E-3	     0.0000
     1.076E-3	      4.560	      1.076E-3	     0.0000
     1.080E-3	      4.560	      1.080E-3	     0.0000
     1.084E-3	      4.560	      1.084E-3	     0.0000
     1.088E-3	      4.560	      1.088E-3	      80.00E-3
     1.092E-3	      4.560	      1.092E-3	     0.0000
     1.096E-3	      4.560	      1.096E-3	     0.0000
     1.100E-3	      4.560	      1.100E-3	     0.0000
     1.104E-3	      4.560	      1.104E-3	     0.0000
     1.108E-3	      4.560	      1.108E-3	     0.0000
     1.112E-3	      4.560	      1.112E-3	     0.0000
     1.116E-3	      4.560	      1.116E-3	     0.0000
     1.120E-3	      4.640	      1.120E-3	     0.0000
     1.124E-3	      4.560	      1.124E-3	     0.0000
     1.128E-3	      4.640	      1.128E-3	     0.0000
     1.132E-3	      4.560	      1.132E-3	     0.0000
     1.136E-3	      4.560	      1.136E-3	      80.00E-3
     1.140E-3	      4.560	      1.140E-3	     0.0000
     1.144E-3	      4.640	      1.144E-3	      80.00E-3
     1.148E-3	      4.560	      1.148E-3	      80.00E-3
     1.152E-3	      4.640	      1.152E-3	     0.0000
     1.156E-3	      4.560	      1.156E-3	     0.0000
     1.160E-3	      4.640	      1.160E-3	      80.00E-3
     1.164E-3	      4.560	      1.164E-3	     0.0000
     1.168E-3	      4.560	      1.168E-3	     0.0000
     1.172E-3	      4.560	      1.172E-3	     0.0000
     1.176E-3	      4.560	      1.176E-3	      80.00E-3
     1.180E-3	      4.560	      1.180E-3	     0.0000
     1.184E-3	      4.560	      1.184E-3	     0.0000
     1.188E-3	      4.560	      1.188E-3	     0.0000
     1.192E-3	      4.560	      1.192E-3	     0.0000
     1.196E-3	      4.560	      1.196E-3	      80.00E-3
     1.200E-3	      4.560	      1.200E-3	      80.00E-3
     1.204E-3	      4.560	      1.204E-3	     0.0000
     1.208E-3	      4.560	      1.208E-3	     0.0000
     1.212E-3	      4.560	      1.212E-3	     0.0000
     1.216E-3	      4.480	      1.216E-3	     0.0000
     1.220E-3	      4.560	      1.220E-3	     0.0000
     1.224E-3	      4.560	      1.224E-3	      80.00E-3
     1.228E-3	      4.560	      1.228E-3	      80.00E-3
     1.232E-3	      4.560	      1.232E-3	     0.0000
     1.236E-3	      4.640	      1.236E-3	      80.00E-3
     1.240E-3	      4.560	      1.240E-3	     0.0000
     1.244E-3	      4.560	      1.244E-3	     0.0000
     1.248E-3	      4.560	      1.248E-3	     0.0000
     1.252E-3	      4.640	      1.252E-3	      80.00E-3
     1.256E-3	      4.560	      1.256E-3	     0.0000
     1.260E-3	      4.560	      1.260E-3	     0.0000
     1.264E-3	      4.560	      1.264E-3	     0.0000
     1.268E-3	      4.560	      1.268E-3	     0.0000
     1.272E-3	      4.480	      1.272E-3	      80.00E-3
     1.276E-3	      4.560	      1.276E-3	     0.0000
     1.280E-3	      80.00E-3	      1.280E-3	     0.0000
     1.284E-3	     0.0000	      1.284E-3	     0.0000
     1.288E-3	     0.0000	      1.288E-3	     0.0000
     1.292E-3	     0.0000	      1.292E-3	     0.0000
     1.296E-3	      80.00E-3	      1.296E-3	     0.0000
     1.300E-3	      80.00E-3	      1.300E-3	     0.0000
     1.304E-3	     0.0000	      1.304E-3	     0.0000
     1.308E-3	      80.00E-3	      1.308E-3	     0.0000
     1.312E-3	     0.0000	      1.312E-3	     0.0000
     1.316E-3	     0.0000	      1.316E-3	     0.0000
     1.320E-3	     0.0000	      1.320E-3	     0.0000
     1.324E-3	     0.0000	      1.324E-3	     0.0000
     1.328E-3	      80.00E-3	      1.328E-3	     0.0000
     1.332E-3	     0.0000	      1.332E-3	     0.0000
     1.336E-3	     0.0000	      1.336E-3	     0.0000
     1.340E-3	     0.0000	      1.340E-3	      80.00E-3
     1.344E-3	     0.0000	      1.344E-3	      80.00E-3
     1.348E-3	      80.00E-3	      1.348E-3	     0.0000
     1.352E-3	      80.00E-3	      1.352E-3	     0.0000
     1.356E-3	      80.00E-3	      1.356E-3	     0.0000
     1.360E-3	     0.0000	      1.360E-3	      80.00E-3
